file,formula,n_atoms,energy_eV,energy_per_atom_eV,pressure_input_GPa,pressure_output_GPa,stress_GPa,lattice_a,lattice_b,lattice_c,angle_alpha,angle_beta,angle_gamma,lattice_vectors,source_csv,volume_A3,H_tot_eV,H_per_atom_eV,Li_num,Li_frac,Cu_num,Cu_frac,H_num,H_frac,H_form_eV_per_atom,explicit_formula
sample_9.vasp,LiH,2,-5.591761,-2.7958805561065674,40,40.341932932535805,[-40.312 -40.281 -40.433  -0.075  -0.106  -0.044],2.4380789833992296,2.4380789833992305,2.43807898339923,60.0848353189217,60.08483531892168,60.08483531892171,"[[2.116036e+00 3.519539e-03 1.211036e+00]
 [7.032104e-01 1.994348e+00 1.213384e+00]
 [5.620154e-03 1.112787e-03 2.438072e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_81/summary_batch_81_40GPa.csv,10.267443698585781,-3.00647434864706,-1.50323717432353,1.0,0.5,0.0,0.0,1.0,0.5,-0.9939101153217933,LiH
sample_18.vasp,LiH,2,-5.591743,-2.795871496200561,40,40.34334182739258,[-40.287 -40.344 -40.399  -0.138   0.097   0.08 ],2.4390211212100863,2.439021121210085,2.439021121210086,90.08666793764866,119.94997486409,119.94997486409,"[[ 2.114611 -0.004826 -1.215409]
 [-1.40517   1.993549 -0.009129]
 [-0.002595  0.004826  2.439015]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_14/summary_batch_14_40GPa.csv,10.267372146237303,-3.006384077654978,-1.503192038827489,1.0,0.5,0.0,0.0,1.0,0.5,-0.9938649798257524,LiH
sample_20.vasp,LiH,2,-5.591697,-2.795848608016968,40,40.34356816609701,[-40.345 -40.183 -40.502   0.234   0.166   0.23 ],2.4376200971561737,2.437620097156172,2.436440183604795,119.89878471175425,119.89878471175425,90.00980051733671,"[[ 2.113473e+00 -1.625408e-05 -1.214588e+00]
 [-6.994976e-01  1.993275e+00 -1.216368e+00]
 [-5.663670e-04  1.376146e-03  2.436440e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_76/summary_batch_76_40GPa.csv,10.267378958617398,-3.006321857596837,-1.5031609287984184,1.0,0.5,0.0,0.0,1.0,0.5,-0.9938338697966818,LiH
sample_6.vasp,Li5CuH6,12,-34.71157,-2.8926308949788413,40,39.64280573527018,[-3.969e+01 -3.955e+01 -3.968e+01  6.224e-02  2.768e-02  4.611e-02],3.4841234873386067,4.911397628452305,4.235838334512004,106.58906814126028,114.27494574297486,89.991832796652,"[[ 3.172267 -0.007405 -1.440757]
 [-0.595719  4.68809  -1.337445]
 [ 0.010873 -0.057269  4.235437]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_79/summary_batch_79_40GPa.csv,62.751616234753186,-19.184876824816996,-1.5987397354014163,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.9070772892794,Li5CuH6
sample_6.vasp,Li7CuH7,15,-42.127087,-2.808472442626953,40,40.31740442911784,[-4.033e+01 -4.021e+01 -4.041e+01  3.878e-01  1.615e-02 -7.020e-03],2.4535242480192,4.202195477050072,8.371485467882282,79.98049633413216,89.98830193167883,73.02866439938792,"[[ 2.453520e+00  1.278710e-03  4.234388e-03]
 [ 1.223128e+00  3.935769e+00  8.198338e-01]
 [-1.263905e-02 -1.843603e-01  8.369446e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_39/summary_batch_39_40GPa.csv,81.17644382483681,-21.69972629787723,-1.4466484198584821,7.0,0.4666666666666667,1.0,0.06666666666666667,7.0,0.4666666666666667,-0.9043412996571418,Li7CuH7
sample_9.vasp,Li5CuH6,12,-34.72678,-2.893898328145345,40,39.8439203898112,[-3.960e+01 -4.004e+01 -3.989e+01 -2.374e-02  1.024e-01  4.995e-03],2.467394348267141,3.467585742593314,7.364304465444965,90.0171940075482,89.79643157743308,89.99631891005579,"[[ 2.467251e+00  6.384844e-04 -2.659328e-02]
 [-6.415171e-04  3.467584e+00  3.065528e-03]
 [ 1.055366e-01 -8.700207e-03  7.363543e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_44/summary_batch_44_40GPa.csv,63.00785733184989,-19.05759365399436,-1.58813280449953,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.8964703583775137,Li5CuH6
sample_3.vasp,Li5CuH6,12,-34.62456,-2.885380109151205,40,39.627943674723305,[-39.742 -39.617 -39.525  -0.123   0.25   -0.391],2.4732806717327374,4.225795577731247,6.50799558166474,96.1639634186548,78.84843723197092,73.27651339118911,"[[ 2.425665  0.023148  0.48242 ]
 [ 1.282335  4.00603  -0.405818]
 [-0.010133 -0.074654  6.507559]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_40/summary_batch_40_40GPa.csv,62.942657402580025,-19.056435991525824,-1.588036332627152,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.8963738865051356,Li5CuH6
sample_14.vasp,Li6CuH5,12,-32.792786,-2.732732137044271,40,39.99050776163737,[-4.011e+01 -4.018e+01 -3.968e+01 -3.589e-01 -1.149e-02 -7.783e-03],2.4309402637340995,4.1475383721344325,7.181175593197045,95.62669359392648,90.00681870971394,107.04670959000008,"[[ 2.430930e+00 -6.619083e-03  2.530102e-03]
 [-1.204801e+00  3.959661e+00 -2.676074e-01]
 [-9.018966e-03 -2.552200e-01  7.176633e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_57/summary_batch_57_40GPa.csv,68.85741149571624,-15.605896622376257,-1.3004913851980213,6.0,0.5,1.0,0.08333333333333333,5.0,0.4166666666666667,-0.891049560317556,Li6CuH5
sample_18.vasp,Li7CuH7,15,-41.73351,-2.7822339375813803,40,39.92622629801432,[-40.096 -40.189 -39.494  -0.069  -0.184   0.145],5.4230935369918125,5.425910208558218,4.2129806981323386,59.10281679870741,59.11944321590524,53.12428206694585,"[[ 4.657663e+00 -1.113963e-02  2.777768e+00]
 [ 2.141864e+00  4.136888e+00  2.781920e+00]
 [ 5.103496e-03  1.718947e-03  4.212977e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_72/summary_batch_72_40GPa.csv,81.20628057313628,-21.49690969659974,-1.4331273131066493,7.0,0.4666666666666667,1.0,0.06666666666666667,7.0,0.4666666666666667,-0.8908201929053091,Li7CuH7
sample_4.vasp,Li5CuH6,12,-34.570522,-2.8808768590291343,40,40.07579676310221,[-4.019e+01 -3.956e+01 -4.047e+01  7.298e-04 -3.407e-01  1.168e-04],4.228917778846029,4.250555817762629,4.229270369402669,80.64153799056692,70.92015856520058,60.168254542397335,"[[ 3.998924e+00 -6.702505e-06  1.375629e+00]
 [ 1.998311e+00  3.687309e+00  6.911782e-01]
 [ 7.133263e-03 -3.855737e-03  4.229263e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_82/summary_batch_82_40GPa.csv,62.3255503420805,-18.98081481018199,-1.5817345675151657,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.8900721213931494,Li5CuH6
